School_Name_ZhT;School_Name;City;State;lat;lng;Univ_Py;Country;Country_ZhT;Notes
布魯克林學院;Brooklyn College;New York City;New York;40.6943;-73.9249;;United States;美國;
;Brooklyn Institute of Technology;New York City;New York;40.6943;-73.9249;;United States;美國;
;Brooklyn Law School;Brooklyn;New York;40.6501;-73.9496;;United States;美國;
;Broward College;Fort Lauderdale;Florida;26.1412;-80.1464;;United States;美國;
布朗大學;Brown University;Providence;Rhode Island;41.823;-71.4187;;United States;美國;
;Bryan College;Dayton;Ohio;39.7805;-84.2003;;United States;美國;
;Bryan College of Health Sciences;Lincoln;Nebraska;40.8099;-96.6784;;United States;美國;
;Bryant and Stratton College;Buffalo;New York;42.9018;-78.8487;;United States;美國;
;Bryant and Stratton College - Buffalo, NY;Buffalo;New York;42.9018;-78.8487;;United States;美國;
;Bryant University;Smithfield;Rhode Island;41.92204;-71.54951;;United States;美國;
;Bryn Athyn College;Bryn Athyn;Pennsylvania;40.1411;-75.0674;;United States;美國;
倫茂大學;Bryn Mawr College;Bryn Mawr;Pennsylvania;40.0208;-75.3161;;United States;美國;
布林茅爾學院;Bryn Mawr College;Bryn Mawr;Pennsylvania;40.0208;-75.3161;;United States;美國;同一个学校 - 不同的中文翻译。
布林莫爾學院;Bryn Mawr College;Bryn Mawr;Pennsylvania;40.0208;-75.3161;;United States;美國;同一个学校 - 不同的中文翻译。
;Bucknell University;Lewisburg;Pennsylvania;40.9641;-76.8901;;United States;美國;
;Buena Vista University;Storm Lake;Iowa;42.6431;-95.196;;United States;美國;
;Buffalo State College;Buffalo;New York;42.9018;-78.8487;;United States;美國;
;Buffalo State College - Buffalo, NY;Buffalo;New York;42.9018;-78.8487;;United States;美國;
聯邦公路總署;Bureau of Public Roads;Washington;District of Columbia;38.9047;-77.0163;;United States;美國;
;Bushnell University;Eugene;Oregon;44.0564;-123.1174;;United States;美國;
;Butler University;Indianapolis;Indiana;39.7771;-86.1458;;United States;美國;
;Cabarrus College of Health Sciences;Concord;North Carolina;35.3933;-80.6369;;United States;美國;
;Cabarrus College of Health Sciences - Concord, NC;Concord;North Carolina;35.3933;-80.6369;;United States;美國;
;Cabrini University;Radnor;Pennsylvania;40.04622;-75.35991;;United States;美國;
;Cairn University;Langhorne;Pennsylvania;40.1777;-74.9212;;United States;美國;
;Caldwell University;Caldwell;New Jersey;40.8389;-74.2776;;United States;美國;
加州美術學院;California Academy of Fine Arts;San Francisco;California;37.7558;-122.4449;;United States;美國;
;California Baptist University;Riverside;California;33.9381;-117.3949;;United States;美國;
;California College of the Arts;San Francisco;California;37.7558;-122.4449;;United States;美國;
;California Institute of Integral Studies;San Francisco;California;37.7558;-122.4449;;United States;美國;
加利福尼亞理工學院;California Institute of Technology;Pasadena;California;34.1597;-118.139;;United States;美國;
加州理工大學;California Institute of Technology;Pasadena;California;34.1597;-118.139;;United States;美國;
